timestamp_us,ax,ay,az,gx,gy,gz
15176411,836,-160,-13520,94,380,83
15268510,856,-124,-13392,92,334,95
15271219,856,-124,-13392,92,334,95
15276112,952,-164,-13240,118,355,100
15280912,840,-48,-13460,94,323,109
15285712,824,-180,-13652,117,354,119
15290512,860,-164,-13540,100,360,111
15296412,864,-104,-13688,77,319,92
15301212,872,-8,-13436,112,325,81
15306012,804,-196,-13428,129,322,77
15377612,764,-224,-13504,97,332,89
15398311,840,-136,-13604,71,325,104
15400911,840,-136,-13604,71,325,104
15405711,900,-144,-13480,119,329,95
15410611,812,-100,-13476,84,330,118
15415411,824,-120,-13688,107,327,86
15421311,884,-64,-13736,102,353,105
15426111,832,-56,-13576,109,323,116
15430911,872,-184,-13448,82,351,106
15548410,928,-128,-13632,112,344,107
15551110,928,-128,-13632,112,344,107
15556012,856,-180,-13372,75,289,97
15560812,796,-152,-13604,109,307,88
