window_id,start_timestamp_ms,end_timestamp_ms,ax_mean,ax_std,ax_rms,ax_peak,ax_ptp,ay_mean,ay_std,ay_rms,ay_peak,ay_ptp,az_mean,az_std,az_rms,az_peak,az_ptp,acc_mag_mean,acc_mag_std,acc_mag_rms,acc_mag_peak,acc_mag_ptp,gx_mean,gx_std,gx_rms,gx_peak,gy_mean,gy_std,gy_rms,gy_peak,gz_mean,gz_std,gz_rms,gz_peak,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_peak,sound_peak_mean,sound_peak_std,sound_peak_rms,sound_peak_peak,sound_volts_mean,sound_volts_std,sound_volts_rms,sound_volts_peak,ir_object_mean,ir_object_std,ir_object_min,ir_object_max,ir_object_range,temperature_slope,ir_ambient_mean,ir_ambient_std
102,412478,420484,749.56,27.56494875743469,750.0666770361153,834.0,162.0,5.185,23.70834821323493,24.268704126920333,72.0,124.0,-13627.27,39.061324862323865,13627.325982745111,13740.0,202.0,13647.91793563365,39.22310810401609,13647.974297675095,13761.372751291929,204.59127484996316,137.02,2.1329791372631846,137.03660095025708,143.0,338.385,2.428327613811613,338.3937130030639,345.0,93.03,2.1246411461703363,93.05425836575132,100.0,376.7530282486525,2.363409712694515,376.76044112937336,383.15793088490284,2492.475,1710.0799643218443,3022.7148575411475,9519.0,0.5020600000000001,0.3444508983875641,0.6088601358275971,1.917,34.630050000000004,0.08245603373919973,34.45,34.71,0.259999999999998,-0.029977516862352595,32.6295,0.016665833312499413
103,416487,424454,751.97,26.102089954637734,752.4228864142823,820.0,148.0,3.37,24.084083956007127,24.318717071424636,72.0,124.0,-13627.27,43.548904693459285,13627.339584819922,13760.0,238.0,13648.048883833068,43.32925689335556,13648.117663619405,13781.430404714889,237.74907355532923,137.3125,2.6504421800899562,137.3380773856981,151.0,338.6425,4.390864806618396,338.6709649497577,378.0,93.1775,2.197952171909116,93.2034200016287,99.0,377.1297330743211,4.451059569504586,377.1559988917053,417.5332322103236,2465.0275,1620.9227809318215,2950.2120665301336,9466.0,0.49654,0.3264949439118468,0.5942650250519544,1.907,34.38655000000001,0.21313633547567637,34.07,34.67,0.6000000000000014,-0.057738169951048184,32.63270000000001,0.015833824553783883
104,420509,428454,748.275,26.145255305695525,748.7316274874463,820.0,138.0,4.145,25.216045982667463,25.55445166697967,74.0,136.0,-13628.155,47.18459467877201,13628.236683078263,13760.0,244.0,13648.731390190445,47.102106427572316,13648.812665210113,13781.430404714889,244.21326085552028,137.245,10.881175258215446,137.67566960069598,180.0,337.7975,22.109760146822037,338.52029850512656,424.0,93.34,2.2381688944313383,93.36683029855945,99.0,376.44238688726705,23.644806081190918,377.18423548711576,469.52848688870836,2485.5575,1554.8997111369433,2931.8439926947,9466.0,0.500665,0.3131933392890085,0.590555255670458,1.907,34.22475,0.10623293980682252,34.07,34.45,0.38000000000000256,-0.01762114537444941,32.60710000000001,0.03258205027311895
105,424478,432454,744.845,25.207458717609754,745.2714203563693,798.0,114.0,7.07,23.374240094599866,24.420073709962466,82.0,144.0,-13626.21,42.54075575257214,13626.27640553354,13752.0,236.0,13646.59735819635,42.603441978854654,13646.663860079503,13773.100304579213,235.88316071984445,136.65,11.000113635776676,137.09203113237473,180.0,337.435,22.473668481135874,338.1825616438553,424.0,92.9475,2.364263891785348,92.97756449810889,98.0,375.80364513477855,24.044080423535128,376.5720349415235,469.52848688870836,2603.13,1670.8181837351422,3093.2053278112658,8387.0,0.5243375,0.3365479811167347,0.6230524516443219,1.689,34.3599,0.14327592261088384,34.09,34.63,0.5399999999999991,0.05265797392176551,32.57940000000001,0.015285287043430256
106,428479,436469,741.435,24.934930820036378,741.854170305728,818.0,142.0,6.93,22.22060080195853,23.276168069508348,82.0,128.0,-13623.815,40.345455444200894,13623.874739221585,13720.0,184.0,13644.017635816193,40.43579524008225,13644.077554015881,13740.487618712808,184.3694427746832,136.8475,4.341571576053998,136.91635220089674,151.0,337.685,9.485819679922237,337.8182055484873,366.0,92.555,2.2320338259085593,92.58190968002334,98.0,375.9523865086418,9.92172255492246,376.0832853238761,407.1633578798564,2540.5975,1664.1591496890403,3037.1139808212665,7215.0,0.5117275,0.3352113337042022,0.6117447772560057,1.453,34.5172,0.09489025239717758,34.31,34.67,0.35999999999999943,0.04505632040050055,32.58265,0.018787695441433598
107,432478,440454,744.145,26.589640369888418,744.6198963229494,818.0,142.0,6.045,25.10872308581223,25.826149538791103,64.0,118.0,-13625.84,39.76247477207625,13625.898016644627,13726.0,190.0,13646.194829528784,39.86495380524845,13646.25305862382,13749.300782221619,196.02855740447012,136.8675,6.026188160852596,137.00010036492674,151.0,337.4625,13.605645657226267,337.73666146866555,377.0,92.7125,2.3344900406726947,92.74188643757469,99.0,375.81417166186026,14.136685541875762,376.079961577322,415.6067853151582,2437.4775,1617.8075301140584,2925.5081212500504,9540.0,0.49095999999999995,0.32588589015175234,0.5892735655024752,1.922,34.61985000000001,0.07135809344426286,34.51,34.69,0.17999999999999972,0.007522567703108722,32.592600000000004,0.02003097601216753
108,436493,444469,751.0,26.76901193544506,751.4769324470312,814.0,138.0,6.86,25.688137340025257,26.588343310556226,72.0,136.0,-13624.575,40.82718916359538,13624.636170922144,13764.0,256.0,13645.309723982573,40.71666227253559,13645.370471702116,13781.797850788555,253.32180948959467,136.265,8.658797549313645,136.5398293539288,164.0,337.6025,18.036199537319384,338.08394297866323,403.0,92.82,2.5273701747072983,92.854402157356,99.0,375.76531453459063,19.137551899869493,376.2523322186854,445.13031799687604,2471.5725,1677.9054248508019,2987.31271170261,9540.0,0.49782499999999996,0.3379729121911991,0.6017104120754434,1.922,34.68730000000001,0.04065353613155931,34.63,34.81,0.17999999999999972,0.01755265797392184,32.600300000000004,0.018218397295041922
109,440478,448453,750.79,25.760355199414466,751.231801776256,806.0,126.0,8.845,24.057347630193984,25.63181616663166,72.0,138.0,-13622.415,41.2266633988248,13622.477383721362,13764.0,256.0,13643.137573213773,41.151407783901725,13643.19963498299,13781.797850788555,253.32180948959467,135.6575,9.496588532204605,135.98949407950602,177.0,338.4225,19.29803082570862,338.9722739399198,415.0,93.0975,2.4378256192763255,93.12941264713312,98.0,376.35701902885097,20.58705242906619,376.9196631909776,460.0586919078913,2362.2675,1614.5763394599062,2861.322158985248,9739.0,0.47582250000000004,0.32521352369443374,0.5763426823513942,1.962,34.74855,0.06744551504733302,34.63,34.83,0.19999999999999574,0.0025078369905960035,32.616150000000005,0.02625219038480409
110,444494,452460,746.945,27.984941933118247,747.4690562157072,828.0,144.0,9.365,24.29540645883497,26.03785705468098,82.0,128.0,-13628.54,44.81772417247444,13628.613691788318,13762.0,284.0,13649.046126708872,45.1547447513673,13649.120818572894,13785.131410327578,285.93824925309855,135.55,25.69654646056547,137.96418013383038,265.0,338.5725,51.327572938431445,342.4410277697461,584.0,92.9525,3.380124812784285,93.01393712772297,107.0,376.737721437282,54.95683984951147,380.7250517105487,647.3214039408863,2356.745,1592.49067186436,2844.3406151514273,9739.0,0.4747375,0.32077791942986034,0.5729521511435314,1.962,34.6745,0.1380932655852566,34.45,34.83,0.37999999999999545,-0.032638714536781965,32.6312,0.016569852141766893
111,448510,456481,744.65,72.00706562553428,748.123412279017,1216.0,930.0,4.055,93.95928360199434,94.04674369695104,1066.0,1824.0,-13637.645,139.49940492704619,13638.358450708061,14982.0,2568.0,13658.440628190372,142.6683784118446,13659.185724632343,15069.019078891632,2612.2788953604686,138.1375,75.17329042785077,157.26726455305314,1010.0,344.335,164.04180191341476,381.41356163618514,2038.0,83.7925,269.80283438791,282.51504827176905,2726.0,412.882329930673,282.05005164158166,500.0240494216253,2919.949485864439,2410.1775,1576.3203389520006,2879.8856561502575,6610.0,0.4854825,0.31750888128326427,0.5800906373145494,1.331,34.584900000000005,0.11942357388723553,34.43,34.83,0.3999999999999986,0.007527286413248309,32.61730000000001,0.018620150375332458
112,452485,460453,752.365,90.5295353738215,757.791983330518,1304.0,1018.0,1.69,98.45386686159158,98.46837055623496,1066.0,1824.0,-13635.575,177.16187336726827,13636.725850071196,14982.0,2568.0,13656.923812893401,180.74454023634468,13658.119805449065,15069.019078891632,2612.2788953604686,133.5175,101.72420898561954,167.85332138507118,1010.0,333.2975,215.4910183598147,396.8924319006348,2038.0,74.585,276.61346275082127,286.4924606337835,2726.0,422.0801730184334,299.3736754371187,517.4710330057133,2919.949485864439,2401.755,1492.0725535224485,2827.491394328195,6414.0,0.48377,0.30054861852951514,0.5695286516058696,1.292,34.6722,0.13145021871415866,34.43,34.83,0.3999999999999986,0.007530120481927996,32.615300000000005,0.0209740315628635
113,456507,464478,724.325,72.59479578454642,727.9537828736107,1304.0,726.0,16.905,44.245349755652285,47.364860392489284,424.0,648.0,-13632.185,122.10821338059124,13632.731871858992,14730.0,1842.0,13651.67367150301,123.87250216072057,13652.2356568439,14793.684192925033,1891.1540534523883,130.17,78.31041501613946,151.91033539558788,797.0,326.2575,159.55004291365765,363.18063343190533,1651.0,83.7275,62.537814510502365,104.50489222998127,706.0,385.0397827954137,132.82530129783487,407.3060213156688,1840.9872351540084,2400.8925,1469.1214333552382,2814.7118116247707,6729.0,0.48361,0.2959466048124222,0.5669770938935718,1.355,34.7189,0.08147877024108797,34.53,34.83,0.29999999999999716,0.007527286413247418,32.6272,0.014288456879594251
114,460477,468453,689.45,31.53945941198105,690.1710222836076,780.0,202.0,30.38,28.006349280118606,41.31948692808273,152.0,198.0,-13639.645,53.11651320446401,13639.748424732767,13760.0,420.0,13657.157020582908,53.3155244083336,13657.261088153804,13778.82665541591,421.6946279183903,134.2375,32.33652878325068,138.0773605628381,237.0,338.135,66.86891486333542,344.6835215092245,551.0,93.4725,4.2981674874299625,93.57126962909075,104.0,376.304558192963,70.86994767317749,382.9199263553674,605.9422414719079,2398.565,1494.239055765509,2825.9271779364735,6729.0,0.48315749999999996,0.301017487355386,0.569256266983509,1.355,34.75665000000001,0.07338104319236706,34.61,34.85,0.240000000000002,0.03009027081243756,32.6283,0.013457711543944593
115,464502,472463,690.09,35.26771753317756,690.9906077509303,812.0,232.0,30.005,24.474271694986143,38.72066631658087,110.0,158.0,-13639.915,54.93744419792388,13640.025635239841,13800.0,296.0,13657.460384072254,55.1588387923993,13657.571769535021,13816.750558651625,296.727777605729,135.565,38.958641852610825,141.05192306381363,277.0,340.8975,81.32457804224994,350.46368214124556,630.0,93.7225,4.931581262637776,93.85215767365182,117.0,380.16798209610204,83.67180163578287,389.2668300793172,692.0968140368802,2421.54,1499.9256709583979,2848.4439594276732,9325.0,0.4877825,0.3021151356581626,0.573764169759667,1.878,34.803000000000004,0.060786511661717,34.67,34.89,0.21999999999999886,-0.020097977640999444,32.652950000000004,0.02789798379811623
116,468478,476474,687.09,48.281796776839194,688.7842913423622,812.0,284.0,31.615,30.441119805289684,43.888153299039594,172.0,220.0,-13633.18,70.57115274671372,13633.362651965215,13820.0,406.0,13650.633371218182,71.66403968880435,13650.821483339381,13838.680572944806,410.03090144022826,135.8175,64.38578409672434,150.30609601742705,321.0,341.0375,136.2581597327294,367.25040844088926,755.0,93.78,6.9621548388412045,94.03807739421303,120.0,383.7059878392027,138.1219023049625,407.8087112850828,826.4780698844949,2468.71,1510.634084052124,2894.2260450766453,9325.0,0.49724999999999997,0.3042852321424752,0.5829640340535598,1.878,34.707950000000004,0.1302566600984385,34.43,34.89,0.46000000000000085,-0.017508754377188664,32.662200000000006,0.023730992393912326
117,472486,480454,685.36,46.08655335344573,686.9077812923654,804.0,276.0,29.555,32.35509194856352,43.82179822873543,172.0,230.0,-13629.38,66.37149689437477,13629.541604911003,13820.0,406.0,13646.743858295291,67.44683891622361,13646.910529859862,13838.680572944806,410.03090144022826,134.335,61.4309187217642,147.71475891054354,321.0,337.96,129.4370055277856,361.8990190647109,755.0,93.6875,6.86875853047696,93.93895624287083,120.0,379.5933328786948,132.37816713508454,402.0137777489722,826.4780698844949,2426.4225,1559.2927431992205,2884.2538042793667,6295.0,0.4887275,0.31410824287775385,0.5809634734645545,1.268,34.653850000000006,0.10968216582471492,34.43,34.85,0.4200000000000017,0.0,32.6503,0.023577743742774448
