timestamp_us,audio_adc
73881312,4768
73882412,52
73883512,12216
73884612,4007
73886112,12193
73887212,10429
73888312,8575
73889412,7916
73890912,5104
73892012,12187
73893112,10504
73894212,6902
73895312,8424
73896912,4550
73898012,7500
73899112,7788
73900212,3683
73975710,11208
73989012,12199
73990612,61
73992112,65
73993212,3819
73994312,0
73995412,12183
73996912,5819
73998012,12170
73999112,3263
74000212,6376
74001712,8563
74002812,33
74003912,12180
74005012,52
74006512,12179
74007612,4318
74008712,22
74009812,12204
74011312,12166
74012412,8599
74013512,12176
74014612,7750
74016112,0
74017212,12198
74018312,2000
74019412,7419
74020912,12183
74022012,42
74023112,12183
74024212,12182
74025312,50
74115412,6743
74117012,10456
74118212,12163
74119312,9674
74120412,4323
74121912,12204
74123012,5545
74124112,12164
74125212,12214
74126712,12165
74127812,8882
74128912,9467
74130012,861
74131612,33
74132712,3824
74133812,45
74134912,12206
74136412,9722
74137512,45
74138612,12170
74139712,12167
74141212,0
74142312,9044
74143412,3305
74144512,377
74146012,12215
74147112,725
74148212,4205
74149312,1312
74150412,5908
74151912,7378
74153012,9985
74154112,6631
74155212,4037
74156712,8276
74157812,6137
74158912,12173
74160012,2036
74234112,12219
74235712,0
74237212,12175
74238312,1929
74239412,12183
74240912,11
74242012,8955
74243112,6871
74244212,12180
74245312,3156
74246812,45
74247912,12207
74249012,47
74250112,12166
74251712,9402
74252812,12200
74253912,28
74255012,12184
74256512,401
74257612,7
74258712,4
74259812,12163
74261312,37
74262412,4
74263512,12222
74264612,3
74353012,62
74354512,12210
74356021,2825
74357212,10
74358312,12147
74359412,12176
74360912,12216
74362012,12219
74363112,12208
74364212,55
74365312,59
74366812,12200
74367912,12212
74369012,12168
74370112,12204
74371712,7478
74372812,6922
74373912,7
74375012,2018
74376512,12202
74377612,12162
74378712,6
74379812,16
74381312,27
74382412,12194
74383512,12169
74384612,3860
74386112,20
74387212,60
74388312,2958
74389412,12213
74390912,12173
74392012,12
74393112,42
74394212,12191
74395312,12205
74396812,12171
74397912,32
74399012,2
74400112,12189
74401612,12192
74402712,12201
74403812,54
74404912,11
74478612,12191
74490810,37
74492310,2162
74493410,12180
74494510,12165
74496112,8888
74497212,10664
74498312,12161
74499412,5
74500912,11
74502012,4955
74503112,951
74504212,12198
74505312,12214
74506812,7407
74507912,11303
74509012,6075
74510112,1728
74511612,3306
74512712,12225
74601210,30
74602710,12161
74603810,5782
74605010,12218
74606612,35
74607712,7801
74608812,12201
74609912,28
74611412,6980
74612512,12167
74613612,21
74614712,12201
74616212,12178
74617312,11916
74618412,10431
74619512,5787
74621012,7373
74622112,12170
74623212,10176
74624312,8165
74625412,6370
74626912,7571
74628012,12209
74629112,6129
74630212,8404
74631712,4814
74632812,12220
74633912,7015
74635012,12047
74636512,2073
74637612,6789
74638712,10198
74639812,6232
74641312,715
74642412,5655
74643512,9456
74644612,12182
74646212,6396
74647312,12171
74648412,3781
74649512,11128
74651012,5453
74652112,4648
74653212,5458
74654312,1436
74655412,8884
74656912,33
74658012,1188
74659112,15
74660212,2222
74661712,12185
74662812,8475
74663912,12197
74665012,12183
74738812,27
74740312,6212
74741812,12171
74743012,0
74744112,12190
74745212,3368
74746712,12224
74747812,41
74748912,12154
74750012,28
74864010,7462
74865610,7673
74867110,1819
74868370,2217
74869510,11068
74871010,8309
74872110,201
74873210,7042
74874310,1447
74875410,5958
74876910,4870
74878010,12225
74879110,52
74880210,9814
74881712,9147
74882812,3141
74883912,2787
74885012,4712
74886512,1959
74887612,4638
74888712,4406
74889812,34
74891312,3
74892412,6954
74893512,12201
74894612,1670
74896212,8246
74897312,28
74898412,7062
74899512,8354
74901012,6051
74902112,7699
74903212,4134
74904312,6056
74905412,6655
74906912,1214
74908012,2420
74909112,4787
74910212,10281
74911712,8539
74912812,12168
74913912,773
74915012,12165
74916512,8769
74917612,12170
74918712,2
74919812,12209
74921312,1427
74922412,12195
74923512,6
74924612,45
74934611,9075
74936111,6873
74937211,12221
74938311,2391
74939511,12212
75014310,4229
75015912,4831
75017412,3698
75018512,6833
75019612,1411
75021112,9721
75022212,1089
75023312,6221
75112112,2224
75113612,5138
75114712,3534
75116212,3
75117312,4071
75118412,9422
75119512,7248
75121012,2739
75122112,4833
75123212,7935
75124312,5753
75125412,6198
75126912,4135
75128012,7785
75129112,8732
75130212,12203
75131812,9946
75132912,5691
75134012,5219
75135112,8569
75136612,6362
75137712,4598
75138812,4692
75139912,2770
75141412,1565
75142512,7102
75143612,5151
75144712,4560
75146212,2948
75147312,7264
75148412,1830
75149512,7946
75151012,6134
75152112,5991
75153212,6956
75154312,5592
75155412,5064
75156912,6895
75158012,3771
75159112,2695
75160212,980
75161712,3306
75162812,3977
75163912,5480
75165012,7296
75166512,700
75167612,9319
75168712,2982
75169812,4068
75171412,5099
75172512,3187
75173612,5957
75174712,4883
75176212,10829
75177312,8850
75178412,9500
75179512,3748
75181012,6258
75182112,2296
75183212,3767
75184312,1488
75185412,4500
75186912,3034
75188012,7610
75277210,6838
75355112,4706
75356712,10872
75357912,7502
75359112,2023
75360212,3727
75361712,1608
75362812,1331
75363912,2306
75365012,1112
75366512,8083
75367612,12170
75368712,10858
75369812,6903
75371312,5109
75372412,10997
75373512,3956
75374612,8518
75376112,9129
75377212,5157
75378312,1498
75379412,5984
75380912,664
75382012,4232
75383112,8554
75384212,4184
75385312,8244
75386812,4889
75387912,9008
75389012,3158
75390112,1815
75391712,5072
75392812,9088
75393912,7298
75395012,7440
75396512,4917
75397612,4241
75398712,11820
75399812,5039
75401312,3176
75402412,6333
75403512,1394
75404612,12175
75406112,9953
75407212,7499
75408312,4328
75409412,5925
75410912,5178
75412012,40
75413112,4818
75414212,11054
75415312,6401
